"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(vertical_cover)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_density_1_6km)_psi","psi(turbine_density_1_6km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(detection_angle)_det","p(as.factor(precip.cat)1)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Vertical cover + slope",6,610.974155752535,0,1,0.329823473451083,-299.04497261311,0.329823473451083,"Vertical cover + slope","-0.49 [-1.00, 0.01]","0.50 [-0.02, 1.02]","-1.76 [-2.73, -0.80]",NA,NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.32, 1.05]",NA,NA,NA,NA
"Slope",5,611.391966952684,0.417811200148549,0.811471834908816,0.26764245919735,-300.383483476342,0.597465932648433,"Slope","-0.51 [-0.99, -0.03]",NA,"-1.64 [-2.50, -0.77]",NA,NA,NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Biotic community + slope + vertical cover",7,612.745141446063,1.77098569352802,0.412510818549765,0.136055751010233,-298.776826042181,0.733521683658666,"Biotic community + slope + vertical cover","-0.67 [-1.28, -0.06]","0.46 [-0.04, 0.96]","-1.86 [-2.86, -0.85]","0.51 [-0.49, 1.52]",NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Turbine density + vertical cover + slope",7,613.271542450519,2.29738669798348,0.317050773553596,0.1045707873938,-299.040026544408,0.838092471052465,"Turbine density + vertical cover + slope","-0.49 [-1.00, 0.03]","0.50 [-0.02, 1.03]","-1.77 [-2.73, -0.80]",NA,"-0.03 [-0.40, 0.35]",NA,"-3.61 [-3.93, -3.29]","-0.42 [-0.63, -0.21]","0.69 [0.32, 1.05]",0.00989213740285777,1,0.920773661200004,0.317050773553596
"Turbine density + slope",6,613.650912783397,2.67675703086184,0.262270591701451,0.0865029975390433,-300.383351128541,0.924595468591509,"Turbine density + slope","-0.51 [-0.99, -0.02]",NA,"-1.64 [-2.50, -0.77]",NA,"0.00 [-0.36, 0.37]",NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",0.000264695602481879,1,0.987019414992964,0.323203567171154
"Turbine density x biotic community + slope + vertical cover",9,613.996954682973,3.02279893043772,0.220601038354263,0.0727594007169186,-297.020216471921,0.997354869308427,"Turbine density x biotic community + slope + vertical cover","-0.68 [-1.28, -0.08]","0.38 [-0.10, 0.86]","-1.75 [-2.69, -0.81]","0.16 [-0.89, 1.21]","-0.43 [-0.94, 0.07]","1.08 [0.21, 1.95]","-3.58 [-3.89, -3.27]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",3.51321914051869,2,0.172629159793594,0.534776370544207
"Vertical cover",5,622.39446934167,11.420313589135,0.003312153176559,0.00109242586529473,-305.884734670835,0.998447295173722,"Vertical cover","-0.25 [-0.67, 0.17]","0.41 [0.02, 0.79]",NA,NA,NA,NA,"-3.59 [-3.90, -3.27]","-0.41 [-0.63, -0.20]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Null",4,622.808406749736,11.8342509972007,0.002692929892838,0.000888191491016083,-307.198017807858,0.999335486664738,"Null","-0.26 [-0.66, 0.13]",NA,NA,NA,NA,NA,"-3.58 [-3.89, -3.26]","-0.41 [-0.62, -0.19]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Turbine density + vertical cover",6,624.628012561474,13.6538568089384,0.00108418318057683,0.000357589062475093,-305.871901017579,0.999693075727213,"Turbine density + vertical cover","-0.26 [-0.67, 0.16]","0.40 [0.01, 0.79]",NA,NA,"0.04 [-0.31, 0.38]",NA,"-3.58 [-3.90, -3.27]","-0.41 [-0.63, -0.20]","0.67 [0.30, 1.04]",0.025667306512446,1,0.872715498852938,0.327334855238546
"Turbine density",5,624.933579377873,13.9594236253374,0.000930571343437824,0.000306924272786704,-307.154289688936,1,"Turbine density","-0.27 [-0.67, 0.13]",NA,NA,NA,"0.07 [-0.27, 0.40]",NA,"-3.57 [-3.89, -3.26]","-0.40 [-0.62, -0.19]","0.67 [0.30, 1.04]",0.0874562378426162,1,0.767436278309544,0.345560924520438
