"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(slope)_psi","psi(NDVI_1_5km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_dist)_psi","psi(turbine_rd_dist:NDVI_1_5km)_psi","psi(turbine_rd_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"NDVI + slope",5,595.315271153474,0,1,0.534608718933448,-292.345135576737,0.534608718933448,"NDVI + slope","-1.96 [-2.55, -1.36]","0.83 [0.30, 1.36]","1.38 [0.77, 1.99]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.41 [-4.03, -0.79]",NA,NA,NA,NA
"Turbine road distance x NDVI + slope",7,597.11561057037,1.80033941689624,0.406500667289059,0.217318800984996,-290.962060604334,0.751927519918444,"Turbine road distance x NDVI + slope","-1.89 [-2.52, -1.26]","0.91 [0.32, 1.49]","1.64 [0.92, 2.36]",NA,"-0.23 [-1.08, 0.61]","1.12 [-0.07, 2.31]",NA,"-2.09 [-2.27, -1.92]","-2.32 [-3.93, -0.72]",2.76614994480587,2,0.250806144128623,0.406500667289059
"Turbine road distance + NDVI + slope",6,597.496864151277,2.18159299780302,0.335948804260153,0.179601159872744,-292.306326812481,0.931528679791188,"Turbine road distance + NDVI + slope","-1.97 [-2.57, -1.36]","0.84 [0.31, 1.37]","1.41 [0.77, 2.05]",NA,"0.09 [-0.40, 0.58]",NA,NA,"-2.09 [-2.26, -1.92]","-2.40 [-4.02, -0.78]",0.0776175285127465,1,0.780552407057175,0.335948804260153
"NDVI",4,600.168761269873,4.85349011639869,0.0883238542146889,0.0472187025529795,-295.878195067926,0.978747382344167,"NDVI","-1.88 [-2.44, -1.31]",NA,"1.40 [0.84, 1.97]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.51 [-4.11, -0.90]",NA,NA,NA,NA
"Turbine road distance + NDVI",5,602.157910865477,6.84263971200335,0.0326692877157606,0.017465286054191,-295.766455432739,0.996212668398358,"Turbine road distance + NDVI","-1.88 [-2.45, -1.31]",NA,"1.45 [0.86, 2.04]",NA,"0.16 [-0.31, 0.63]",NA,NA,"-2.09 [-2.27, -1.92]","-2.52 [-4.13, -0.91]",0.223479270374696,1,0.636401581050968,0.369880685192375
"Biotic community + slope",5,606.739096839463,11.4238256859893,0.00330634197904836,0.00176759924977493,-298.057048419732,0.997980267648133,"Biotic community + slope","-1.86 [-2.45, -1.28]","0.92 [0.42, 1.42]",NA,"1.15 [0.31, 1.99]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.71 [-4.29, -1.12]",NA,NA,NA,NA
"Turbine road distance x biotic community + slope",7,608.048448896275,12.7331777428005,0.00171800959337281,0.000918462907828412,-296.428479767286,0.998898730555962,"Turbine road distance x biotic community + slope","-2.21 [-3.06, -1.37]","0.97 [0.43, 1.51]",NA,"1.51 [0.47, 2.54]","-1.34 [-2.85, 0.17]",NA,"1.48 [-0.13, 3.08]","-2.09 [-2.27, -1.92]","-2.54 [-4.14, -0.95]",3.25713730489088,2,0.196210218245424,0.519610374322892
"Slope",4,608.439727628701,13.1244564752271,0.00141273429290784,0.000755260070524812,-300.01367824734,0.999653990626486,"Slope","-1.39 [-1.81, -0.98]","0.91 [0.41, 1.41]",NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.88 [-4.45, -1.31]",NA,NA,NA,NA
"Turbine road distance + slope",5,610.079179710092,14.7639085566182,0.000622383386368462,0.000332731584871905,-299.727089855046,0.999986722211358,"Turbine road distance + slope","-1.42 [-1.85, -1.00]","0.94 [0.42, 1.46]",NA,NA,"-0.24 [-0.72, 0.24]",NA,NA,"-2.09 [-2.27, -1.92]","-2.83 [-4.40, -1.26]",0.573176784588327,1,0.448999301117514,0.440552331385264
"Null",3,617.194715353196,21.8794441997219,1.77394053868419e-05,9.48364078850063e-06,-305.474908697006,0.999996205852147,"Null","-1.27 [-1.65, -0.89]",NA,NA,NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.98 [-4.56, -1.40]",NA,NA,NA,NA
"Turbine road distance",4,619.026932255092,23.7116611016179,7.09705569472432e-06,3.7941478531559e-06,-305.307280560536,1,"Turbine road distance","-1.29 [-1.68, -0.90]",NA,NA,NA,"-0.18 [-0.63, 0.28]",NA,NA,"-2.09 [-2.27, -1.92]","-2.92 [-4.51, -1.33]",0.335256272941024,1,0.562580273975602,0.400072919016132
