"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(woodland_percent_0_9km)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_density_0_9km)_psi","psi(woodland_percent_0_9km:turbine_density_0_9km)_psi","psi(turbine_density_0_9km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(precip.cat)1)_det","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Percent wooodland + slope",6,3296.39976716289,0,1,0.460481338032995,-1641.75777831829,0.460481338032995,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine density + percent wooodland + slope",7,3297.99199617775,1.59222901485691,0.451078224638136,0.207713104438917,-1641.40025340802,0.668194442471912,"Turbine density + percent wooodland + slope","1.93 [1.45, 2.41]","-0.78 [-1.17, -0.39]","-0.65 [-1.08, -0.22]",NA,"-0.25 [-0.66, 0.16]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.715049820529657,1,0.397772473901711,0.451078224638136
"Percent woodland",5,3298.95223802658,2.55247086368536,0.279085963464249,0.128513877882245,-1644.16361901329,0.796708320354157,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine density x percent wooodland + slope",8,3299.21001925956,2.81025209667087,0.245336130293027,0.11297270954517,-1640.83081608139,0.909681029899327,"Turbine density x percent wooodland + slope","1.94 [1.46, 2.42]","-0.74 [-1.14, -0.34]","-0.66 [-1.08, -0.23]",NA,"-0.13 [-0.63, 0.37]","-0.29 [-0.70, 0.13]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.85392447378763,2,0.39575409339291,0.245336130293027
"Turbine density + percent wooodland",6,3301.07406282483,4.67429566193914,0.096602773116113,0.0444837742222055,-1644.09492614926,0.954164804121532,"Turbine density + percent wooodland","1.84 [1.39, 2.29]","-0.82 [-1.19, -0.45]",NA,NA,"-0.10 [-0.50, 0.29]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.137385728061872,1,0.710893909318716,0.346139848514767
"Biotic community + slope",6,3303.01505619102,6.61528902813143,0.0366022884685751,0.0168546707690791,-1645.06542283235,0.971019474890611,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Slope",5,3303.21304192266,6.81327475976468,0.0331524923925026,0.0152661040560283,-1646.29402096133,0.98628557894664,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine density + slope",6,3304.37150137334,7.97173421044818,0.0185763297046814,0.00855405315815377,-1645.74364542351,0.994839632104793,"Turbine density + slope","1.74 [1.32, 2.16]",NA,"-0.67 [-1.05, -0.29]",NA,"-0.28 [-0.66, 0.09]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.10075107563216,1,0.294101333685023,0.560329808231323
"Turbine density x biotic community + slope",8,3306.40594874963,10.0061815867343,0.00671715354787625,0.00309312385349914,-1644.42878082643,0.997932755958293,"Turbine density x biotic community + slope","2.04 [1.49, 2.60]",NA,"-0.65 [-1.04, -0.26]","-0.73 [-1.62, 0.16]","0.01 [-0.60, 0.61]",NA,"-0.47 [-1.30, 0.37]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.27328401185559,2,0.529066045115195,0.183517310772611
"Base Detection Submodel",4,3307.86984905541,11.470081892518,0.00323075007850712,0.00148770011900116,-1649.72873896069,0.999420456077294,"Base Detection Submodel","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine density",5,3309.75533947161,13.355572308722,0.00125856115077723,0.000579543922706245,-1649.56516973581,1,"Turbine density","1.62 [1.23, 2.01]",NA,NA,NA,"-0.15 [-0.51, 0.21]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.327138449775248,1,0.56734895065106,0.389556951232449
