"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(woodland_percent_0_9km)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(as.factor(turbine_interior)1)_psi","psi(as.factor(turbine_interior)1:woodland_percent_0_9km)_psi","psi(as.factor(turbine_interior)1:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(precip.cat)1)_det","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine interior + percent wooodland + slope",7,3295.97209949058,0,1,0.372858774268482,-1640.39030506444,0.372858774268482,"Turbine interior + percent wooodland + slope","2.27 [1.65, 2.89]","-0.79 [-1.18, -0.39]","-0.67 [-1.11, -0.24]",NA,"-1.06 [-1.97, -0.14]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.73494650769908,1,0.0981747886000697,1.23841685759068
"Percent wooodland + slope",6,3296.39976716289,0.427667672312509,0.807482548279811,0.301076953194801,-1641.75777831829,0.673935727463282,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine interior x percent wooodland + slope",8,3298.02440334063,2.05230385005416,0.358383396735569,0.133626394024999,-1640.23800812193,0.807562121488282,"Turbine interior x percent wooodland + slope","2.21 [1.60, 2.83]","-0.68 [-1.16, -0.20]","-0.65 [-1.08, -0.22]",NA,"-0.91 [-1.92, 0.11]","-0.33 [-1.18, 0.53]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.03954039271684,2,0.218762153515791,0.443828039997938
"Percent woodland",5,3298.95223802658,2.98013853599787,0.225357044967238,0.0840263515592515,-1644.16361901329,0.891588473047533,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine interior + percent wooodland",6,3299.47049655126,3.49839706067814,0.173913273821055,0.0648450901059373,-1643.29314301247,0.95643356315347,"Turbine interior + percent wooodland","2.10 [1.53, 2.67]","-0.83 [-1.20, -0.46]",NA,NA,"-0.80 [-1.66, 0.06]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.74095200163538,1,0.187018247043295,0.771723261841394
"Turbine interior + slope",6,3302.25957061399,6.28747112341262,0.043121413957092,0.0160781975527651,-1644.68768004384,0.972511760706235,"Turbine interior + slope","2.09 [1.53, 2.65]",NA,"-0.70 [-1.08, -0.32]",NA,"-1.08 [-1.93, -0.22]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.21268183498023,1,0.0730696259058876,1.61080757776407
"Biotic community + slope",6,3303.01505619102,7.04295670044394,0.0295557091654777,0.0110201054920758,-1645.06542283235,0.983531866198311,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Slope",5,3303.21304192266,7.24094243207719,0.0267700590389251,0.0099814514003485,-1646.29402096133,0.99351331759866,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine interior x biotic community + slope",8,3304.71025312388,8.73815363329777,0.0126629253754486,0.00472148283414302,-1643.58093301355,0.998234800432803,"Turbine interior x biotic community + slope","2.12 [1.49, 2.76]",NA,"-0.65 [-1.03, -0.27]","-0.22 [-1.43, 0.98]","-0.38 [-1.66, 0.91]",NA,"-1.14 [-2.99, 0.70]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.96897963760466,2,0.226617927394488,0.428442616773324
"Null",4,3307.86984905541,11.8977495648305,0.00260877430624813,0.000972704390170788,-1649.72873896069,0.999207504822973,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine interior",5,3308.27963666199,12.3075371714094,0.00212545669223247,0.00079249517702654,-1648.82731833099,1,"Turbine interior","1.86 [1.37, 2.35]",NA,NA,NA,"-0.76 [-1.56, 0.04]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.80284125940034,1,0.179369379663966,0.814733833870528
