"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(jackrabbit_count_avg)_psi","psi(coy_count_avg)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(as.factor(turbine_interior)1)_psi","psi(as.factor(turbine_interior)1:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","p(NDVI_1_9km)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community +jackrabbit count + coyote count",7,281.199360401866,0,1,0.725866896307586,-133.003935520082,0.725866896307586,"Biotic community +jackrabbit count + coyote count","-1.42 [-2.87, 0.03]","5.01 [0.74, 9.29]","-4.34 [-8.55, -0.13]","-14.56 [-97.73, 68.60]",NA,NA,"-4.95 [-5.80, -4.10]","-1.92 [-2.68, -1.17]","-2.48 [-3.20, -1.76]",NA,NA,NA,NA
"Jackrabbit count + coyote count",6,283.742660062325,2.54329966045958,0.280368679272567,0.203510343045436,-135.429224768005,0.929377239353022,"Jackrabbit count + coyote count","-1.51 [-2.87, -0.14]","3.91 [0.20, 7.63]","-3.73 [-7.36, -0.11]",NA,NA,NA,"-5.23 [-6.14, -4.32]","-1.92 [-2.67, -1.16]","-2.69 [-3.43, -1.94]",NA,NA,NA,NA
"Turbine interior + jackrabbit count + coyote count",7,286.044069493204,4.84470909133785,0.0887124937424078,0.0643934624965078,-135.426290065751,0.99377070184953,"Turbine interior + jackrabbit count + coyote count","-1.53 [-2.94, -0.12]","3.92 [0.16, 7.68]","-3.72 [-7.39, -0.06]",NA,"0.11 [-1.89, 2.10]",NA,"-5.23 [-6.14, -4.31]","-1.92 [-2.67, -1.16]","-2.68 [-3.43, -1.94]",0.0058694045080756,1,0.938932181427458,0.316413709165294
"Jackrabbit count",5,291.603458924986,10.4040985231206,0.00550527111277142,0.0039960940559592,-140.489229462493,0.997766795905489,"Jackrabbit count","-0.82 [-1.48, -0.16]","1.40 [0.57, 2.23]",NA,NA,NA,NA,"-4.85 [-5.70, -4.00]","-2.04 [-2.80, -1.29]","-2.45 [-3.14, -1.76]",NA,NA,NA,NA
"Turbine interior + jackrabbit count",6,293.631195469903,12.4318350680369,0.00199738284268087,0.00144983408475479,-140.373492471793,0.999216629990244,"Turbine interior + jackrabbit count","-0.96 [-1.74, -0.18]","1.42 [0.59, 2.25]",NA,NA,"0.43 [-0.86, 1.73]",NA,"-4.82 [-5.66, -3.98]","-2.03 [-2.79, -1.28]","-2.44 [-3.12, -1.75]",0.231473981399461,1,0.630433040859266,0.362812802814966
"Coyote count",5,296.314518490178,15.1151580883124,0.000522137787515127,0.000379002535268515,-142.844759245089,0.999595632525512,"Coyote count","-0.75 [-1.41, -0.08]",NA,"-1.18 [-2.12, -0.25]",NA,NA,NA,"-5.04 [-5.85, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.27, -1.95]",NA,NA,NA,NA
"Biotic community",5,298.455921948755,17.2565615468898,0.00017897207436203,0.000129909904142897,-143.915460974378,0.999725542429655,"Biotic community","-0.44 [-0.99, 0.12]",NA,NA,"-7.75 [-56.70, 41.21]",NA,NA,"-4.85 [-5.67, -4.03]","-2.08 [-2.84, -1.32]","-2.47 [-3.14, -1.79]",NA,NA,NA,NA
"Turbine interior + coyote count",6,298.571062764116,17.3717023622505,0.000168959556703798,0.000122642149026091,-142.8434261189,0.999848184578681,"Turbine interior + coyote count","-0.76 [-1.52, 0.01]",NA,"-1.18 [-2.12, -0.25]",NA,"0.04 [-1.17, 1.25]",NA,"-5.04 [-5.85, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.27, -1.95]",0.00266625237765084,1,0.958818919829811,0.323591896131254
"Null",4,298.719129468287,17.5197690664214,0.000156902724594444,0.000113890493723573,-145.153379167133,0.999962075072405,"Null","-0.50 [-1.06, 0.06]",NA,NA,NA,NA,NA,"-5.04 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",NA,NA,NA,NA
"Turbine interior",5,300.9211386188,19.7217782169341,5.21759389776093e-05,3.78727868876113e-05,-145.1480693094,0.999999947859292,"Turbine interior","-0.52 [-1.17, 0.12]",NA,NA,NA,"0.08 [-1.06, 1.22]",NA,"-5.04 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",0.0106197154667029,1,0.917921697631803,0.332536857549617
"Turbine interior x biotic community + jackrabbit count + coyote count",8,314.097222882935,32.8978624810689,7.18323259164196e-08,5.21407074675065e-08,-148.27441789308,1,"Turbine interior x biotic community + jackrabbit count + coyote count","-1.94 [-2.82, -1.06]","2.61 [1.40, 3.82]","-1.90 [-3.31, -0.49]","-18.32 [-75.58, 38.95]","0.19 [-1.25, 1.63]","0.90 [-4141.37, 4143.17]","-2.39 [-2.69, -2.08]","-1.47 [-2.22, -0.73]",NA,-30.5409647459968,1,1,7.18323259164196e-08
