"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(shrub_yucca_density)_psi","psi(veg_cover)_psi","psi(turbine_rd_density_1_9km)_psi","psi(veg_cover:turbine_rd_density_1_9km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_density_1_9km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(max_trig_dist)_det","p(livestock.count)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + shrub density",6,1243.95882742923,0,1,0.362568148195761,-615.537308451455,0.362568148195761,"Biotic community + shrub density","0.84 [0.10, 1.58]","5.15 [2.81, 7.50]",NA,NA,NA,"1.76 [0.83, 2.70]",NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",NA,NA,NA,NA
"vegetation cover + shrub density",6,1244.78964565066,0.830818221438903,0.660070183671224,0.239320424172911,-615.952717562174,0.601888572368672,"vegetation cover + shrub density","1.07 [0.35, 1.79]","4.10 [1.81, 6.39]","0.78 [0.36, 1.20]",NA,NA,NA,NA,"-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.93, -0.17]",NA,NA,NA,NA
"Turbine road density + vegetation cover + shrub density",7,1245.58028513638,1.62145770715097,0.444533947962517,0.16117385032292,-615.194397887337,0.763062422691593,"Turbine road density + vegetation cover + shrub density","1.04 [0.33, 1.75]","4.13 [1.87, 6.40]","0.75 [0.33, 1.17]","0.33 [-0.06, 0.73]",NA,NA,NA,"-2.90 [-3.23, -2.56]","-0.46 [-0.62, -0.30]","-2.03 [-3.91, -0.15]",1.51663934967428,1,0.218128769046172,0.673464669302402
"Turbine road density x biotic community + shrub density",8,1247.37884981322,3.42002238399095,0.180863768379317,0.0655754415769959,-614.915231358221,0.828637864268589,"Turbine road density x biotic community + shrub density","0.85 [0.11, 1.59]","5.18 [2.81, 7.54]",NA,"0.23 [-0.23, 0.69]",NA,"1.66 [0.70, 2.62]","0.24 [-0.73, 1.22]","-2.90 [-3.23, -2.56]","-0.45 [-0.61, -0.29]","-2.05 [-3.93, -0.17]",1.24415418646731,2,0.536828236471467,0.180863768379317
"vegetation cover",5,1247.46833798784,3.50951055861401,0.172949561449849,0.0627060022261409,-618.42166899392,0.89134386649473,"vegetation cover","0.20 [-0.16, 0.55]",NA,"0.90 [0.52, 1.29]",NA,NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.12]",NA,NA,NA,NA
"Turbine road density x vegetation cover + shrub density",8,1247.99351379558,4.03468636635307,0.133008374952324,0.0482246002009916,-615.222563349402,0.939568466695721,"Turbine road density x vegetation cover + shrub density","0.26 [-0.15, 0.66]","0.97 [-0.11, 2.05]","0.78 [0.37, 1.19]","0.32 [-0.06, 0.69]","0.36 [-0.09, 0.80]",NA,NA,"-2.88 [-3.22, -2.55]","-0.53 [-0.70, -0.36]","-2.01 [-3.88, -0.13]",1.4603084255441,2,0.481834679298949,0.201506412867415
"Turbine road density + vegetation cover",6,1248.72623338835,4.7674059591277,0.0922084983601352,0.0334318644983461,-617.921011431018,0.973000331194067,"Turbine road density + vegetation cover","0.18 [-0.17, 0.53]",NA,"0.87 [0.48, 1.25]","0.24 [-0.11, 0.58]",NA,NA,NA,"-2.89 [-3.23, -2.55]","-0.54 [-0.71, -0.37]","-1.98 [-3.85, -0.11]",1.00131512580219,1,0.316992495033178,0.533152542204469
"Shrub density",5,1250.54007026921,6.58124283998541,0.0372307063009316,0.013498668239549,-619.957535134605,0.986498999433616,"Shrub density","1.29 [0.57, 2.01]","4.99 [2.75, 7.24]",NA,NA,NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",NA,NA,NA,NA
"Turbine road density + shrub density",6,1250.604008662,6.64518123277981,0.036059294846998,0.013073951757921,-618.859899067844,0.999572951191537,"Turbine road density + shrub density","1.22 [0.52, 1.91]","4.86 [2.67, 7.05]",NA,"0.38 [0.00, 0.75]",NA,NA,NA,"-2.91 [-3.25, -2.58]","-0.47 [-0.63, -0.31]","-2.07 [-3.96, -0.19]",2.19527213352148,1,0.138434758239963,0.968536416030756
"Null",4,1258.7743075674,14.8154801381706,0.000606539885051542,0.000219912042930007,-625.180968216688,0.999792863234467,"Null","0.26 [-0.08, 0.59]",NA,NA,NA,NA,NA,NA,"-2.96 [-3.30, -2.61]","-0.59 [-0.76, -0.43]","-2.11 [-4.01, -0.21]",NA,NA,NA,NA
"Turbine road density",5,1258.89400433418,14.9351769049526,0.000571304364610153,0.000207136765532859,-624.134502167089,1,"Turbine road density","0.23 [-0.10, 0.57]",NA,NA,"0.32 [-0.00, 0.64]",NA,NA,NA,"-2.94 [-3.28, -2.59]","-0.58 [-0.75, -0.42]","-2.06 [-3.95, -0.17]",2.09293209919747,1,0.147981815780827,0.941907331554306
